Synonym	current_species_or_subspecies_name
Oedura africana	Afroedura africana
Afroedura africana	Afroedura africana
Oedura amatolica	Afroedura amatolica
Afroedura amatolica	Afroedura amatolica
Afroedura karroica bogerti	Afroedura bogerti
Afroedura bogerti	Afroedura bogerti
Afroedura cf bogerti	Afroedura bogerti
Afroedura hawequensis	Afroedura hawequensis
Oedura karroica	Afroedura karroica
Oedura karroica wilmoti	Afroedura karroica
Afroedura karroica karroica	Afroedura karroica
Afroedura karrioca karroica	Afroedura karroica
Afroedura karroica	Afroedura karroica
Oedura nivaria	Afroedura nivaria
Afroedura nivaria	Afroedura nivaria
Afroedura nivara sic	Afroedura nivaria
Oedura pondolia	Afroedura pondolia
Oedura pondoensis	Afroedura pondolia
Afroedura pondolia pondolia	Afroedura pondolia
Afroedura pondolia	Afroedura pondolia
Oedura tembulica	Afroedura tembulica
Afroedura tembulica	Afroedura tembulica
Oedura transvaalica	Afroedura transvaalica
Oedura transvaalica platyceps	Afroedura transvaalica
Oedura transvaalensis	Afroedura transvaalica
Afroedura transvaalica	Afroedura transvaalica
Afroedura transvaalica platyceps	Afroedura transvaalica
Phyllodactylus ansorgii	Afrogecko ansorgii
Afrogecko ansorgii	Afrogecko ansorgii
Gecko porphyreus	Afrogecko porphyreus
Phyllodactylus porphyreus	Afrogecko porphyreus
Phyllodactylus porphyreus namaquensis	Afrogecko porphyreus
Phyllodactylus porphyreus cronwrigthi	Afrogecko porphyreus
Afrogecko porphyreus	Afrogecko porphyreus
Phyllodactylus swartbergensis	Ramigekko swartbergensis
Afrogecko swartbergensis	Ramigekko swartbergensis
Ramigekko swartbergensis	Ramigekko swartbergensis
Tropidonotus anoscopus	Afronatrix anoscopus
Tropidonotus ferox	Afronatrix anoscopus
Natrix anoscopus	Afronatrix anoscopus
Helicops gendrii	Afronatrix anoscopus
Natrix ferox	Afronatrix anoscopus
Natrix anoscopus gendrii	Afronatrix anoscopus
Natrix firestonei	Afronatrix anoscopus
Afronatrix anoscopus	Afronatrix anoscopus
Agama aculeata	Agama aculeata
Trapelus Psammorrhoa bibronii	Agama aculeata
Saura spinalis	Agama aculeata
Agama infralineata	Agama aculeata
Agama pulchella	Agama aculeata
Agama hispida aculeata	Agama aculeata
Agama aculeata aculeata	Agama aculeata
Agama aculeata distanti	Agama aculeata distanti
Agama distanti	Agama aculeata distanti
Agama hispida distanti	Agama aculeata distanti
Lacerta agama	Agama agama
Agama colonorum	Agama agama
Agama occipitalis	Agama agama
Agama smithii	Agama agama
Agama colonorum congica	Agama agama
Agama picticauda	Agama agama
Agama agama agama	Agama agama
Agama agama	Agama agama
Agama wagneri	Agama agama
Agama smithi	Agama agama
Agama cf congica	Agama agama
Agama anchietae	Agama anchietae
Agama mehelyi	Agama anchietae
Agama namaquensis	Agama anchietae
Agama anchietae methueni	Agama anchietae
Agama anchietae anchietae	Agama anchietae
Agama armata	Agama armata
Agama hispida armata	Agama armata
Agama hispida mertensi	Agama armata
Agama aculeata armata	Agama armata
Agama atra	Agama atra
Agama ater	Agama atra
Saura spinalis partim	Agama atra
Phrynopsis atra	Agama atra
Agama micropholis	Agama atra
Agama microterolepis	Agama atra
Agama atra rudis	Agama atra
Agama atra atra	Agama atra
Agama bocourti	Agama bocourti
Agama bottegi	Agama bottegi
Agama boueti	Agama boueti
Agama castroviejoi	Agama boueti
Agama boulengeri	Agama boulengeri
Agama caudospinosa	Agama caudospinosa
Agama agama caudospina	Agama caudospinosa
Agama agama kaimosae	Agama caudospinosa
Agama planiceps caudospinosa	Agama caudospinosa
Agama caudospina	Agama caudospinosa
Agama caudospina sic	Agama caudospinosa
Agama lucyae	Agama lucyae
Agama doriae	Agama doriae
Agama sennariensis	Agama doriae
Agama kordofanensis	Agama doriae
Agama doriae benueensis	Agama doriae benueensis
Agama agama benueensis	Agama doriae benueensis
Agama cf benueensis	Agama doriae benueensis
Agama etoshae	Agama etoshae
Agama gracilimembris	Agama gracilimembris
Agama hartmanni	Agama hartmanni
Agama doriae	Agama hartmanni
Agama cornii	Agama hartmanni
Lacerta hispida	Agama hispida
Trapelus hispidus	Agama hispida
Agama aspera	Agama hispida
Agama hispida	Agama hispida
Agama brachyura	Agama hispida
Agama hispida makarikarika	Agama hispida makarikarika
Agama hispida makarikarica	Agama hispida makarikarika
Agama makarikarika	Agama hispida makarikarika
Agama bibronii	Agama impalearis
Agama colonorum impalearis	Agama impalearis
Agama colonorum subsp fritschi	Agama impalearis
Agama impalearis	Agama impalearis
Agama cristata	Agama cristata
Agama kirkii	Agama kirkii
